participant_id,activity_date,activity_type,topic,municipality,gender,age_group,role,decision_making_role,event_speaker,coordination_role,responsibility_level,leadership_role
1512,2025-03-19,Community Outreach,Gender Equality,Kamensk-Uralsky,Female,25-34,Participant,No,No,No,Basic,No
1686,2025-03-19,Meeting,Entrepreneurship,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
1724,2025-03-19,Meeting,Education,Yekaterinburg,Male,25-34,Participant,No,Yes,No,Basic,No
1893,2025-03-19,Public Event,Social Policy,Serov,Male,45-54,Organizer,Yes,No,Yes,Leadership,Yes
2441,2025-03-19,Campaign Activity,Education,Yekaterinburg,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes
2798,2025-03-19,Meeting,Economic Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
3590,2025-03-19,Government Interaction,Economic Policy,Kamensk-Uralsky,Female,18-24,Volunteer,No,No,No,Basic,No
471,2025-03-20,Campaign Activity,Economic Policy,Nizhny Tagil,Female,35-44,Participant,No,No,No,Basic,No
669,2025-03-20,Survey,Education,Revda,Female,25-34,Volunteer,Yes,No,No,Basic,No
1148,2025-03-20,Community Outreach,Social Policy,Yekaterinburg,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes
2534,2025-03-20,Public Event,Local Government,Nizhny Tagil,Female,25-34,Participant,No,No,No,Basic,No
2699,2025-03-20,Public Event,Transport,Kamensk-Uralsky,Female,18-24,Analyst,Yes,No,No,Professional,No
2841,2025-03-20,Community Outreach,Housing,Revda,Male,25-34,Volunteer,Yes,Yes,No,Basic,No
2876,2025-03-20,Meeting,Local Government,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No
2959,2025-03-20,Educational Event,Gender Equality,Kamensk-Uralsky,Female,18-24,Participant,No,No,No,Basic,No
3423,2025-03-20,Campaign Activity,Education,Yekaterinburg,Male,55+,Participant,No,No,No,Basic,No
258,2025-03-21,Campaign Activity,Education,Revda,Female,18-24,Volunteer,No,Yes,Yes,Basic,No
526,2025-03-21,Meeting,Housing,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
1039,2025-03-21,Meeting,Economic Policy,Yekaterinburg,Female,45-54,Volunteer,No,No,No,Basic,No
1125,2025-03-21,Meeting,Transport,Yekaterinburg,Female,45-54,Participant,No,No,No,Basic,No
1458,2025-03-21,Community Outreach,Housing,Yekaterinburg,Female,25-34,Organizer,Yes,No,Yes,Leadership,Yes
1678,2025-03-21,Government Interaction,Housing,Nizhny Tagil,Female,18-24,Volunteer,No,No,No,Basic,No
1707,2025-03-21,Media Activity,Transport,Asbest,Female,25-34,Speaker,No,Yes,No,Visible,No
2298,2025-03-21,Educational Event,Housing,Serov,Female,18-24,Organizer,No,Yes,Yes,Leadership,Yes
2373,2025-03-21,Community Outreach,Healthcare,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
2478,2025-03-21,Campaign Activity,Social Policy,Serov,Female,35-44,Volunteer,No,No,No,Basic,No
2670,2025-03-21,Meeting,Transport,Pervouralsk,Female,18-24,Participant,No,No,No,Basic,No
878,2025-03-22,Public Event,Youth Policy,Serov,Female,35-44,Participant,No,No,No,Basic,No
1391,2025-03-22,Meeting,Transport,Nizhny Tagil,Male,35-44,Participant,No,Yes,No,Basic,No
1676,2025-03-22,Survey,Economic Policy,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No
1925,2025-03-22,Public Event,Healthcare,Yekaterinburg,Female,55+,Participant,No,No,No,Basic,No
2780,2025-03-22,Campaign Activity,Gender Equality,Revda,Female,45-54,Coordinator,Yes,No,Yes,Leadership,Yes
2807,2025-03-22,Media Activity,Local Government,Pervouralsk,Female,25-34,Volunteer,No,No,No,Basic,No
3341,2025-03-22,Government Interaction,Transport,Yekaterinburg,Female,25-34,Coordinator,No,No,Yes,Leadership,Yes
154,2025-03-23,Survey,Local Government,Asbest,Male,18-24,Participant,No,No,No,Basic,No
748,2025-03-23,Educational Event,Local Government,Serov,Female,45-54,Participant,No,No,No,Basic,No
988,2025-03-23,Media Activity,Education,Kamensk-Uralsky,Female,45-54,Participant,No,Yes,No,Basic,No
1140,2025-03-23,Community Outreach,Gender Equality,Yekaterinburg,Male,35-44,Coordinator,No,Yes,Yes,Leadership,Yes
1199,2025-03-23,Educational Event,Housing,Pervouralsk,Female,18-24,Speaker,No,Yes,No,Visible,No
1552,2025-03-23,Meeting,Entrepreneurship,Yekaterinburg,Female,25-34,Participant,No,Yes,No,Basic,No
1940,2025-03-23,Meeting,Local Government,Revda,Female,45-54,Participant,No,No,No,Basic,No
2280,2025-03-23,Public Event,Transport,Yekaterinburg,Male,45-54,Organizer,Yes,No,Yes,Leadership,Yes
3264,2025-03-23,Campaign Activity,Youth Policy,Yekaterinburg,Male,55+,Participant,Yes,No,No,Basic,No
3396,2025-03-23,Educational Event,Local Government,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No
2370,2025-03-24,Survey,Healthcare,Kamensk-Uralsky,Male,55+,Participant,No,No,No,Basic,No
2671,2025-03-24,Campaign Activity,Gender Equality,Yekaterinburg,Male,25-34,Coordinator,Yes,Yes,Yes,Leadership,Yes
3107,2025-03-24,Meeting,Education,Nizhny Tagil,Female,35-44,Analyst,No,No,No,Professional,No
409,2025-03-25,Meeting,Education,Nizhny Tagil,Female,45-54,Participant,No,No,No,Basic,No
422,2025-03-25,Meeting,Transport,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
1032,2025-03-25,Campaign Activity,Housing,Nizhny Tagil,Male,45-54,Coordinator,Yes,No,Yes,Leadership,Yes
1460,2025-03-25,Meeting,Gender Equality,Pervouralsk,Female,18-24,Participant,No,No,No,Basic,No
2008,2025-03-25,Community Outreach,Youth Policy,Pervouralsk,Female,35-44,Volunteer,No,No,No,Basic,No
3293,2025-03-25,Meeting,Gender Equality,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
3358,2025-03-25,Community Outreach,Healthcare,Yekaterinburg,Male,35-44,Coordinator,Yes,Yes,Yes,Leadership,Yes
664,2025-03-26,Educational Event,Housing,Kamensk-Uralsky,Female,25-34,Volunteer,No,No,No,Basic,No
1566,2025-03-26,Survey,Social Policy,Yekaterinburg,Female,25-34,Volunteer,Yes,No,No,Basic,No
1919,2025-03-26,Meeting,Education,Kamensk-Uralsky,Male,18-24,Participant,No,No,No,Basic,No
1382,2025-03-27,Public Event,Youth Policy,Pervouralsk,Female,25-34,Coordinator,No,No,Yes,Leadership,Yes
1990,2025-03-27,Community Outreach,Social Policy,Serov,Female,25-34,Participant,No,No,No,Basic,No
194,2025-03-28,Meeting,Gender Equality,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No
734,2025-03-28,Community Outreach,Housing,Yekaterinburg,Female,25-34,Organizer,Yes,No,Yes,Leadership,Yes
864,2025-03-28,Media Activity,Transport,Revda,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes
982,2025-03-28,Survey,Housing,Yekaterinburg,Male,25-34,Speaker,No,Yes,No,Visible,No
1048,2025-03-28,Public Event,Local Government,Yekaterinburg,Male,45-54,Participant,No,No,No,Basic,No
3485,2025-03-28,Community Outreach,Local Government,Pervouralsk,Male,45-54,Speaker,No,Yes,No,Visible,No
1168,2025-03-29,Community Outreach,Education,Kamensk-Uralsky,Male,25-34,Volunteer,No,No,No,Basic,No
1236,2025-03-29,Educational Event,Gender Equality,Yekaterinburg,Female,45-54,Participant,No,No,No,Basic,No
1298,2025-03-29,Community Outreach,Education,Yekaterinburg,Female,25-34,Volunteer,No,No,No,Basic,No
2566,2025-03-29,Government Interaction,Entrepreneurship,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
2700,2025-03-29,Media Activity,Gender Equality,Kamensk-Uralsky,Male,55+,Coordinator,Yes,No,Yes,Leadership,Yes
53,2025-03-30,Public Event,Transport,Revda,Male,18-24,Analyst,No,No,No,Professional,No
644,2025-03-30,Community Outreach,Local Government,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
691,2025-03-30,Meeting,Social Policy,Yekaterinburg,Female,45-54,Participant,No,No,No,Basic,No
1037,2025-03-30,Campaign Activity,Transport,Serov,Female,18-24,Participant,No,No,No,Basic,No
2545,2025-03-30,Community Outreach,Entrepreneurship,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
2890,2025-03-30,Media Activity,Local Government,Yekaterinburg,Female,45-54,Volunteer,No,No,No,Basic,No
3068,2025-03-30,Community Outreach,Economic Policy,Asbest,Female,55+,Participant,No,No,No,Basic,No
3073,2025-03-30,Community Outreach,Transport,Yekaterinburg,Male,35-44,Organizer,Yes,No,Yes,Leadership,Yes
3167,2025-03-30,Educational Event,Healthcare,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
672,2025-03-31,Community Outreach,Social Policy,Asbest,Male,35-44,Speaker,No,Yes,No,Visible,No
1022,2025-03-31,Media Activity,Economic Policy,Yekaterinburg,Male,35-44,Volunteer,No,No,No,Basic,No
1292,2025-03-31,Public Event,Education,Nizhny Tagil,Male,45-54,Organizer,No,Yes,Yes,Leadership,Yes
1442,2025-03-31,Meeting,Gender Equality,Yekaterinburg,Female,45-54,Participant,No,No,No,Basic,No
1673,2025-03-31,Educational Event,Transport,Yekaterinburg,Male,45-54,Organizer,Yes,No,Yes,Leadership,Yes
1864,2025-03-31,Survey,Social Policy,Yekaterinburg,Male,25-34,Analyst,Yes,No,Yes,Professional,No
3313,2025-03-31,Government Interaction,Education,Yekaterinburg,Male,25-34,Organizer,Yes,No,Yes,Leadership,Yes
213,2025-04-01,Community Outreach,Housing,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
354,2025-04-01,Government Interaction,Housing,Nizhny Tagil,Male,35-44,Volunteer,No,No,Yes,Basic,No
624,2025-04-01,Meeting,Youth Policy,Nizhny Tagil,Female,25-34,Volunteer,No,No,No,Basic,No
777,2025-04-01,Government Interaction,Transport,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
1257,2025-04-01,Campaign Activity,Economic Policy,Serov,Male,55+,Participant,No,No,No,Basic,No
1514,2025-04-01,Media Activity,Local Government,Yekaterinburg,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes
1624,2025-04-01,Meeting,Transport,Yekaterinburg,Female,55+,Participant,No,No,No,Basic,No
1851,2025-04-01,Meeting,Housing,Yekaterinburg,Female,45-54,Volunteer,No,No,No,Basic,No
2161,2025-04-01,Meeting,Youth Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
3086,2025-04-01,Campaign Activity,Healthcare,Kamensk-Uralsky,Female,25-34,Participant,No,No,No,Basic,No
3543,2025-04-01,Survey,Entrepreneurship,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
149,2025-04-02,Public Event,Entrepreneurship,Yekaterinburg,Female,25-34,Coordinator,Yes,Yes,Yes,Leadership,Yes
3593,2025-04-02,Community Outreach,Healthcare,Kamensk-Uralsky,Male,55+,Participant,No,No,No,Basic,No
470,2025-04-03,Meeting,Housing,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No
1115,2025-04-03,Community Outreach,Youth Policy,Yekaterinburg,Male,35-44,Participant,Yes,No,No,Basic,No
1197,2025-04-03,Meeting,Housing,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
1605,2025-04-03,Meeting,Social Policy,Yekaterinburg,Female,45-54,Participant,No,No,No,Basic,No
1740,2025-04-03,Public Event,Social Policy,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
2464,2025-04-03,Campaign Activity,Housing,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No
2770,2025-04-03,Government Interaction,Entrepreneurship,Yekaterinburg,Male,25-34,Organizer,Yes,No,Yes,Leadership,Yes
485,2025-04-04,Community Outreach,Entrepreneurship,Nizhny Tagil,Female,25-34,Coordinator,No,Yes,Yes,Leadership,Yes
604,2025-04-04,Community Outreach,Transport,Yekaterinburg,Male,25-34,Speaker,No,Yes,Yes,Visible,No
1861,2025-04-04,Government Interaction,Social Policy,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No
2095,2025-04-04,Survey,Transport,Yekaterinburg,Male,45-54,Participant,No,No,No,Basic,No
3210,2025-04-04,Survey,Transport,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
3521,2025-04-04,Campaign Activity,Economic Policy,Yekaterinburg,Male,25-34,Organizer,Yes,No,Yes,Leadership,Yes
102,2025-04-05,Public Event,Youth Policy,Yekaterinburg,Male,35-44,Speaker,No,Yes,No,Visible,No
1520,2025-04-05,Community Outreach,Social Policy,Revda,Female,25-34,Participant,No,No,No,Basic,No
1971,2025-04-05,Meeting,Healthcare,Yekaterinburg,Female,55+,Organizer,Yes,Yes,Yes,Leadership,Yes
2172,2025-04-05,Educational Event,Healthcare,Nizhny Tagil,Female,35-44,Analyst,Yes,No,No,Professional,No
3214,2025-04-05,Meeting,Housing,Serov,Male,55+,Participant,Yes,No,No,Basic,No
136,2025-04-06,Media Activity,Gender Equality,Nizhny Tagil,Female,55+,Participant,No,No,No,Basic,No
299,2025-04-06,Meeting,Local Government,Pervouralsk,Male,45-54,Organizer,Yes,No,Yes,Leadership,Yes
2103,2025-04-06,Meeting,Healthcare,Pervouralsk,Male,35-44,Participant,No,No,No,Basic,No
3390,2025-04-06,Meeting,Local Government,Nizhny Tagil,Female,25-34,Participant,No,No,No,Basic,No
3449,2025-04-06,Community Outreach,Gender Equality,Kamensk-Uralsky,Female,45-54,Coordinator,Yes,No,Yes,Leadership,Yes
110,2025-04-07,Survey,Youth Policy,Yekaterinburg,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes
153,2025-04-07,Campaign Activity,Housing,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No
994,2025-04-07,Public Event,Local Government,Yekaterinburg,Female,18-24,Coordinator,Yes,Yes,Yes,Leadership,Yes
2744,2025-04-07,Campaign Activity,Social Policy,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No
2806,2025-04-07,Government Interaction,Education,Nizhny Tagil,Female,45-54,Analyst,No,No,Yes,Professional,No
3397,2025-04-07,Survey,Social Policy,Yekaterinburg,Female,55+,Participant,No,No,No,Basic,No
796,2025-04-08,Campaign Activity,Transport,Pervouralsk,Female,55+,Analyst,No,No,No,Professional,No
1305,2025-04-08,Government Interaction,Healthcare,Serov,Male,18-24,Analyst,No,Yes,No,Professional,No
2466,2025-04-08,Educational Event,Entrepreneurship,Nizhny Tagil,Male,35-44,Coordinator,Yes,Yes,Yes,Leadership,Yes
2684,2025-04-08,Meeting,Housing,Asbest,Male,45-54,Coordinator,Yes,Yes,Yes,Leadership,Yes
2866,2025-04-08,Educational Event,Housing,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
2933,2025-04-08,Government Interaction,Economic Policy,Yekaterinburg,Male,18-24,Organizer,Yes,Yes,Yes,Leadership,Yes
3325,2025-04-08,Campaign Activity,Social Policy,Yekaterinburg,Male,35-44,Participant,No,Yes,No,Basic,No
3399,2025-04-08,Educational Event,Entrepreneurship,Yekaterinburg,Male,35-44,Organizer,Yes,No,Yes,Leadership,Yes
1593,2025-04-09,Meeting,Local Government,Pervouralsk,Male,35-44,Participant,No,No,No,Basic,No
1880,2025-04-09,Media Activity,Local Government,Kamensk-Uralsky,Male,25-34,Speaker,Yes,Yes,No,Visible,No
2273,2025-04-09,Meeting,Education,Revda,Male,45-54,Participant,No,No,No,Basic,No
2455,2025-04-09,Meeting,Youth Policy,Nizhny Tagil,Male,45-54,Participant,No,No,No,Basic,No
3082,2025-04-09,Educational Event,Housing,Serov,Female,25-34,Speaker,No,Yes,No,Visible,No
3133,2025-04-09,Educational Event,Healthcare,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
3349,2025-04-09,Government Interaction,Local Government,Revda,Male,25-34,Participant,Yes,No,No,Basic,No
1500,2025-04-10,Educational Event,Social Policy,Kamensk-Uralsky,Male,35-44,Organizer,Yes,No,Yes,Leadership,Yes
2462,2025-04-10,Campaign Activity,Housing,Yekaterinburg,Male,55+,Volunteer,No,No,No,Basic,No
2871,2025-04-10,Campaign Activity,Housing,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
2892,2025-04-10,Government Interaction,Local Government,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No
2955,2025-04-10,Meeting,Education,Serov,Male,35-44,Participant,No,No,No,Basic,No
2961,2025-04-10,Campaign Activity,Healthcare,Yekaterinburg,Male,18-24,Volunteer,No,No,No,Basic,No
3043,2025-04-10,Public Event,Education,Revda,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes
66,2025-04-11,Campaign Activity,Healthcare,Pervouralsk,Male,25-34,Coordinator,Yes,Yes,Yes,Leadership,Yes
721,2025-04-11,Educational Event,Entrepreneurship,Nizhny Tagil,Male,25-34,Analyst,No,No,No,Professional,No
1835,2025-04-11,Survey,Transport,Yekaterinburg,Female,18-24,Coordinator,No,Yes,Yes,Leadership,Yes
2097,2025-04-11,Meeting,Economic Policy,Yekaterinburg,Female,25-34,Coordinator,No,Yes,Yes,Leadership,Yes
2253,2025-04-11,Meeting,Entrepreneurship,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No
3176,2025-04-11,Campaign Activity,Gender Equality,Yekaterinburg,Female,45-54,Organizer,Yes,No,Yes,Leadership,Yes
3408,2025-04-11,Meeting,Local Government,Yekaterinburg,Female,25-34,Analyst,Yes,No,Yes,Professional,No
961,2025-04-12,Media Activity,Local Government,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No
1539,2025-04-12,Public Event,Local Government,Yekaterinburg,Male,25-34,Participant,No,Yes,No,Basic,No
2062,2025-04-12,Meeting,Education,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
2127,2025-04-12,Government Interaction,Economic Policy,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No
2666,2025-04-12,Educational Event,Healthcare,Pervouralsk,Male,18-24,Organizer,Yes,Yes,Yes,Leadership,Yes
547,2025-04-13,Meeting,Entrepreneurship,Nizhny Tagil,Female,55+,Participant,No,No,No,Basic,No
813,2025-04-13,Survey,Gender Equality,Pervouralsk,Male,35-44,Organizer,No,No,Yes,Leadership,Yes
202,2025-04-14,Public Event,Economic Policy,Asbest,Male,35-44,Participant,No,No,No,Basic,No
1876,2025-04-14,Meeting,Housing,Yekaterinburg,Male,45-54,Coordinator,Yes,No,Yes,Leadership,Yes
2287,2025-04-14,Public Event,Social Policy,Asbest,Male,35-44,Organizer,Yes,No,Yes,Leadership,Yes
2676,2025-04-14,Government Interaction,Social Policy,Yekaterinburg,Male,45-54,Speaker,No,Yes,No,Visible,No
2791,2025-04-14,Meeting,Local Government,Nizhny Tagil,Male,25-34,Coordinator,Yes,No,Yes,Leadership,Yes
3157,2025-04-14,Survey,Local Government,Serov,Female,25-34,Participant,No,No,No,Basic,No
1606,2025-04-15,Meeting,Education,Yekaterinburg,Female,18-24,Volunteer,No,Yes,No,Basic,No
1612,2025-04-15,Public Event,Transport,Yekaterinburg,Male,35-44,Organizer,Yes,Yes,Yes,Leadership,Yes
2413,2025-04-15,Meeting,Education,Kamensk-Uralsky,Female,45-54,Participant,No,No,No,Basic,No
2665,2025-04-15,Campaign Activity,Social Policy,Nizhny Tagil,Male,18-24,Analyst,Yes,No,No,Professional,No
2695,2025-04-15,Meeting,Social Policy,Yekaterinburg,Male,45-54,Speaker,No,Yes,No,Visible,No
3281,2025-04-15,Meeting,Housing,Yekaterinburg,Male,18-24,Volunteer,No,No,Yes,Basic,No
1056,2025-04-16,Educational Event,Education,Yekaterinburg,Male,25-34,Volunteer,Yes,No,Yes,Basic,No
2184,2025-04-16,Educational Event,Social Policy,Serov,Female,45-54,Organizer,Yes,Yes,Yes,Leadership,Yes
2694,2025-04-16,Media Activity,Transport,Yekaterinburg,Male,25-34,Organizer,Yes,No,Yes,Leadership,Yes
2762,2025-04-16,Community Outreach,Youth Policy,Yekaterinburg,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes
2844,2025-04-16,Educational Event,Gender Equality,Yekaterinburg,Female,25-34,Volunteer,No,No,Yes,Basic,No
2967,2025-04-16,Community Outreach,Local Government,Nizhny Tagil,Female,35-44,Volunteer,No,No,No,Basic,No
3461,2025-04-16,Meeting,Entrepreneurship,Kamensk-Uralsky,Female,25-34,Participant,No,No,No,Basic,No
490,2025-04-17,Meeting,Housing,Revda,Male,45-54,Participant,No,No,No,Basic,No
996,2025-04-17,Media Activity,Entrepreneurship,Yekaterinburg,Female,25-34,Organizer,No,Yes,Yes,Leadership,Yes
1781,2025-04-17,Public Event,Healthcare,Yekaterinburg,Female,35-44,Coordinator,Yes,Yes,Yes,Leadership,Yes
2226,2025-04-17,Meeting,Housing,Yekaterinburg,Female,45-54,Coordinator,Yes,Yes,Yes,Leadership,Yes
2874,2025-04-17,Community Outreach,Education,Yekaterinburg,Female,45-54,Participant,No,No,No,Basic,No
3021,2025-04-17,Survey,Gender Equality,Yekaterinburg,Female,45-54,Volunteer,No,No,No,Basic,No
3336,2025-04-17,Government Interaction,Economic Policy,Yekaterinburg,Female,18-24,Organizer,No,Yes,Yes,Leadership,Yes
249,2025-04-18,Public Event,Entrepreneurship,Pervouralsk,Female,18-24,Organizer,Yes,No,Yes,Leadership,Yes
533,2025-04-18,Campaign Activity,Gender Equality,Asbest,Female,25-34,Participant,No,No,No,Basic,No
654,2025-04-18,Community Outreach,Transport,Nizhny Tagil,Female,25-34,Participant,No,No,No,Basic,No
2109,2025-04-18,Meeting,Housing,Yekaterinburg,Female,35-44,Speaker,No,Yes,No,Visible,No
2323,2025-04-18,Survey,Transport,Yekaterinburg,Female,25-34,Coordinator,Yes,No,Yes,Leadership,Yes
3179,2025-04-18,Campaign Activity,Entrepreneurship,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No
3244,2025-04-18,Campaign Activity,Economic Policy,Kamensk-Uralsky,Female,18-24,Participant,Yes,No,No,Basic,No
47,2025-04-19,Campaign Activity,Transport,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
421,2025-04-19,Public Event,Entrepreneurship,Yekaterinburg,Male,45-54,Analyst,No,No,Yes,Professional,No
1102,2025-04-19,Campaign Activity,Entrepreneurship,Kamensk-Uralsky,Female,25-34,Participant,No,No,No,Basic,No
1412,2025-04-19,Community Outreach,Healthcare,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
2224,2025-04-19,Meeting,Local Government,Yekaterinburg,Female,45-54,Organizer,Yes,No,Yes,Leadership,Yes
246,2025-04-20,Community Outreach,Local Government,Pervouralsk,Male,35-44,Coordinator,Yes,No,Yes,Leadership,Yes
322,2025-04-20,Educational Event,Economic Policy,Yekaterinburg,Male,55+,Speaker,No,Yes,No,Visible,No
1598,2025-04-20,Campaign Activity,Education,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
1712,2025-04-20,Public Event,Youth Policy,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
2030,2025-04-20,Public Event,Education,Revda,Male,25-34,Participant,Yes,No,No,Basic,No
2924,2025-04-20,Public Event,Education,Nizhny Tagil,Male,18-24,Participant,No,No,No,Basic,No
3006,2025-04-20,Meeting,Education,Yekaterinburg,Male,25-34,Participant,No,Yes,No,Basic,No
3079,2025-04-20,Meeting,Transport,Yekaterinburg,Male,35-44,Coordinator,Yes,No,Yes,Leadership,Yes
374,2025-04-21,Meeting,Youth Policy,Asbest,Female,45-54,Participant,No,No,No,Basic,No
819,2025-04-21,Meeting,Transport,Yekaterinburg,Male,25-34,Speaker,No,Yes,No,Visible,No
1983,2025-04-21,Campaign Activity,Social Policy,Yekaterinburg,Male,25-34,Coordinator,Yes,Yes,Yes,Leadership,Yes
2108,2025-04-21,Educational Event,Entrepreneurship,Yekaterinburg,Male,25-34,Coordinator,Yes,No,Yes,Leadership,Yes
2177,2025-04-21,Government Interaction,Housing,Yekaterinburg,Female,45-54,Volunteer,No,No,No,Basic,No
2719,2025-04-21,Community Outreach,Social Policy,Yekaterinburg,Female,25-34,Analyst,No,No,No,Professional,No
2869,2025-04-21,Media Activity,Economic Policy,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No
2910,2025-04-21,Community Outreach,Local Government,Pervouralsk,Male,25-34,Coordinator,Yes,No,Yes,Leadership,Yes
506,2025-04-22,Meeting,Economic Policy,Pervouralsk,Male,35-44,Speaker,No,Yes,No,Visible,No
593,2025-04-22,Community Outreach,Social Policy,Revda,Female,25-34,Participant,No,No,No,Basic,No
1219,2025-04-22,Community Outreach,Social Policy,Yekaterinburg,Male,25-34,Analyst,No,No,Yes,Professional,No
1564,2025-04-22,Campaign Activity,Entrepreneurship,Yekaterinburg,Male,35-44,Volunteer,No,No,No,Basic,No
2188,2025-04-22,Educational Event,Housing,Yekaterinburg,Male,45-54,Volunteer,No,No,No,Basic,No
2326,2025-04-22,Meeting,Economic Policy,Yekaterinburg,Male,35-44,Organizer,Yes,No,Yes,Leadership,Yes
2617,2025-04-22,Community Outreach,Education,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
2840,2025-04-22,Community Outreach,Transport,Yekaterinburg,Female,35-44,Analyst,No,No,No,Professional,No
1388,2025-04-23,Meeting,Healthcare,Pervouralsk,Female,55+,Participant,No,No,No,Basic,No
1863,2025-04-23,Meeting,Social Policy,Yekaterinburg,Male,35-44,Organizer,No,No,Yes,Leadership,Yes
2191,2025-04-23,Educational Event,Transport,Yekaterinburg,Female,45-54,Participant,No,No,No,Basic,No
2537,2025-04-23,Media Activity,Gender Equality,Yekaterinburg,Male,18-24,Volunteer,No,No,No,Basic,No
2567,2025-04-23,Community Outreach,Transport,Yekaterinburg,Female,25-34,Volunteer,No,No,No,Basic,No
2691,2025-04-23,Government Interaction,Youth Policy,Yekaterinburg,Male,35-44,Analyst,Yes,No,No,Professional,No
26,2025-04-24,Community Outreach,Gender Equality,Yekaterinburg,Female,35-44,Analyst,Yes,No,No,Professional,No
257,2025-04-24,Survey,Healthcare,Yekaterinburg,Male,18-24,Volunteer,No,No,No,Basic,No
916,2025-04-24,Public Event,Transport,Yekaterinburg,Male,45-54,Participant,No,No,No,Basic,No
1823,2025-04-24,Survey,Gender Equality,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
2081,2025-04-24,Educational Event,Entrepreneurship,Pervouralsk,Female,45-54,Speaker,No,Yes,No,Visible,No
2981,2025-04-24,Educational Event,Transport,Yekaterinburg,Male,18-24,Analyst,Yes,No,No,Professional,No
3155,2025-04-24,Campaign Activity,Healthcare,Nizhny Tagil,Female,25-34,Volunteer,No,Yes,No,Basic,No
3584,2025-04-24,Campaign Activity,Healthcare,Nizhny Tagil,Male,18-24,Volunteer,No,No,No,Basic,No
143,2025-04-25,Educational Event,Youth Policy,Yekaterinburg,Male,25-34,Analyst,No,No,Yes,Professional,No
219,2025-04-25,Government Interaction,Healthcare,Kamensk-Uralsky,Male,25-34,Participant,No,No,No,Basic,No
517,2025-04-25,Community Outreach,Entrepreneurship,Serov,Female,35-44,Speaker,No,Yes,No,Visible,No
843,2025-04-25,Educational Event,Local Government,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
857,2025-04-25,Meeting,Social Policy,Pervouralsk,Male,18-24,Volunteer,No,No,No,Basic,No
931,2025-04-25,Survey,Gender Equality,Yekaterinburg,Female,45-54,Organizer,No,No,Yes,Leadership,Yes
1206,2025-04-25,Government Interaction,Local Government,Yekaterinburg,Female,18-24,Coordinator,Yes,No,Yes,Leadership,Yes
2141,2025-04-25,Government Interaction,Entrepreneurship,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No
